qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test3290,8,,,,
test3291,12,,,5,0.4167
test3292,11,,,2,0.1818
test3293,8,5,0.625,5,0.625
test3294,8,2,0.25,2,0.25
test3295,10,7,0.7,3,0.3
test3296,8,4,0.5,4,0.5
test3297,11,8,0.7273,,
test3298,8,5,0.625,5,0.625
test3299,9,7,0.7778,7,0.7778
test3300,8,4,0.5,4,0.5
test3301,10,,,,
test3302,8,7,0.875,7,0.875
test3303,8,8,1.0,7,0.875
test3304,8,5,0.625,6,0.75
test3305,8,7,0.875,7,0.875
test3306,8,3,0.375,3,0.375
test3307,8,,,,
test3308,8,4,0.5,5,0.625
test3309,10,4,0.4,4,0.4
test3310,8,4,0.5,4,0.5
test3311,9,,,,
test3312,9,4,0.4444,5,0.5556
test3313,8,7,0.875,7,0.875
test3314,9,4,0.4444,4,0.4444
test3315,8,3,0.375,3,0.375
test3316,8,6,0.75,4,0.5
test3317,9,,,,
test3318,8,,,,
test3319,8,,,3,0.375
test3320,8,5,0.625,6,0.75
test3321,8,6,0.75,6,0.75
test3322,9,2,0.2222,5,0.5556
test3323,13,7,0.5385,7,0.5385
test3324,9,7,0.7778,7,0.7778
test3325,9,6,0.6667,6,0.6667
test3326,8,2,0.25,2,0.25
test3327,9,7,0.7778,7,0.7778
test3328,8,4,0.5,4,0.5
test3329,10,4,0.4,4,0.4
test3330,7,3,0.4286,3,0.4286
test3331,11,8,0.7273,9,0.8182
test3332,10,2,0.2,2,0.2
test3333,8,8,1.0,8,1.0
test3334,8,3,0.375,3,0.375
test3335,8,5,0.625,5,0.625
test3336,9,5,0.5556,3,0.3333
test3337,6,2,0.3333,1,0.1667
test3338,9,3,0.3333,3,0.3333
test3339,9,4,0.4444,4,0.4444
test3340,9,3,0.3333,3,0.3333
test3341,8,1,0.125,1,0.125
test3342,8,7,0.875,7,0.875
test3343,8,4,0.5,4,0.5
test3344,12,8,0.6667,4,0.3333
test3345,11,9,0.8182,8,0.7273
test3346,9,4,0.4444,4,0.4444
test3347,9,4,0.4444,4,0.4444
test3348,8,3,0.375,3,0.375
test3349,8,8,1.0,7,0.875
test3350,10,6,0.6,4,0.4
test3351,8,4,0.5,4,0.5
test3352,8,3,0.375,3,0.375
test3353,10,9,0.9,9,0.9
test3354,8,3,0.375,3,0.375
test3355,8,6,0.75,6,0.75
test3356,9,4,0.4444,4,0.4444
test3357,12,,,,
test3358,8,,,,
test3359,8,3,0.375,3,0.375
test3360,15,15,1.0,15,1.0
test3361,9,4,0.4444,4,0.4444
test3362,8,7,0.875,7,0.875
test3363,8,5,0.625,5,0.625
test3364,8,5,0.625,5,0.625
test3365,8,3,0.375,3,0.375
test3366,10,9,0.9,10,1.0
test3367,8,5,0.625,5,0.625
test3368,8,5,0.625,6,0.75
test3369,9,8,0.8889,7,0.7778
test3370,13,6,0.4615,6,0.4615
test3371,12,4,0.3333,4,0.3333
test3372,9,6,0.6667,6,0.6667
test3373,8,3,0.375,3,0.375
test3374,9,7,0.7778,7,0.7778
test3375,8,4,0.5,4,0.5
test3376,10,9,0.9,9,0.9
test3377,8,8,1.0,8,1.0
test3378,8,2,0.25,2,0.25
test3379,8,,,,
test3380,8,8,1.0,8,1.0
test3381,10,4,0.4,4,0.4
test3382,10,,,,
test3383,11,10,0.9091,10,0.9091
test3384,8,,,,
test3385,8,4,0.5,6,0.75
test3386,13,12,0.9231,12,0.9231
test3387,7,3,0.4286,3,0.4286
test3388,10,6,0.6,6,0.6
test3389,8,5,0.625,5,0.625
test3390,8,6,0.75,6,0.75
test3391,9,6,0.6667,6,0.6667
test3392,11,2,0.1818,2,0.1818
test3393,9,7,0.7778,7,0.7778
test3394,9,5,0.5556,5,0.5556
test3395,11,,,,
test3396,11,2,0.1818,2,0.1818
test3397,9,7,0.7778,7,0.7778
test3398,8,7,0.875,7,0.875
test3399,8,6,0.75,6,0.75
test3400,8,3,0.375,3,0.375
test3401,8,4,0.5,4,0.5
test3402,10,6,0.6,6,0.6
test3403,9,3,0.3333,3,0.3333
test3404,11,6,0.5455,6,0.5455
test3405,8,6,0.75,6,0.75
