qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
9824,9,,,,
9871,14,,,,
9882,10,,,,
9925,16,3,0.1875,4,0.25
9929,6,,,,
9961,6,4,0.6667,4,0.6667
9979,20,16,0.8,16,0.8
10034,14,5,0.3571,5,0.3571
10039,9,,,,
10109,12,8,0.6667,2,0.1667
10122,3,,,,
10136,22,,,,
10137,6,,,,
10152,16,6,0.375,12,0.75
10183,11,,,,
10213,10,,,,
10246,8,,,,
10267,9,,,,
10414,10,10,1.0,,
10447,15,,,,
10462,13,,,,
10482,10,,,,
10497,13,8,0.6154,,
10526,15,15,1.0,,
10547,8,,,,
10558,8,,,,
10596,12,3,0.25,1,0.0833
10601,4,4,1.0,,
10628,21,,,,
10639,7,,,,
10645,10,10,1.0,,
10674,9,,,,
10710,15,,,,
10734,14,12,0.8571,1,0.0714
10792,12,,,,
10808,17,,,,
10809,7,7,1.0,1,0.1429
10812,8,6,0.75,,
10827,13,,,2,0.1538
10845,10,10,1.0,10,1.0
10912,3,,,,
10932,6,6,1.0,6,1.0
10975,19,,,,
10979,4,,,,
10994,10,6,0.6,5,0.5
11039,10,10,1.0,,
11054,13,7,0.5385,11,0.8462
11088,14,,,,
